ticket_id,contract_id,duration,type
42735671,CfCf-52231312,58.964944555079384,request_info
45107677,xAXI-76703597,59.99791193798238,complaint
71966656,CjuQ-62079985,61.770919837325906,request_info
74222270,ruSA-32076857,61.84451689096869,request_info
17643414,DhAI-54238972,58.057550323407284,claim
59685064,TJIz-81979967,8.498938838832423,request_info
10770832,LTjR-06580915,10.76635352937589,complaint
00129251,MHpg-65509605,10.189790661824793,request_info
67404330,veVK-08518240,8.503966535304789,request_info
38368846,OAxi-60582491,58.75677542033754,claim
98340240,QbEi-23886742,60.263084660521145,claim
92826218,qguk-77493420,59.55066078876464,claim
80859227,hjkD-60020524,59.15444673962376,complaint
63312405,EQxf-09342385,59.53876262210173,complaint
96108148,DNvB-94462751,59.623410578193514,complaint
47318209,oyPg-08569634,14.568660402737518,complaint
94466576,Rfog-45047769,59.4553294061949,complaint
70558431,aZEF-94953270,62.61719955004471,complaint
28447266,dFlW-47793348,62.05397246841653,complaint
25707549,eRyR-00835035,57.78507293685269,complaint
38437205,qibm-54654957,59.520408655301694,complaint
59253716,YIyi-49231970,60.584452056370544,complaint
97991260,StvC-47414061,63.56076194284571,complaint
19241904,ISPA-99511191,60.12111632539991,request_info
55240091,HdQz-64652938,59.79275203554821,request_info
91254096,GQQV-45576957,58.83073239128294,request_info
34594971,HgDq-43706790,6.854449545799459,complaint
65967560,hEDN-00792143,62.14987911756712,complaint
64040430,gWia-74958533,59.639069757399334,request_info
64813493,hXDP-93575839,59.69014425432689,complaint
76373996,utHv-99453729,61.07664157028832,complaint
52657477,BRtG-89129888,64.1803911162706,request_info
68250247,gHts-16319644,9.707858115302486,complaint
07908215,PuuR-30267275,7.276510651499647,claim
87180019,TPGS-37875920,60.57328732292732,request_info
49345413,KZfY-75918826,61.50397725214652,claim
37219305,pthI-66300410,62.659318986995196,request_info
76979453,ogdI-33265240,57.6994425138018,request_info
74232150,mANm-04356100,13.124264622858867,request_info
59943605,bbBu-07203364,56.28014435263388,request_info
33692705,WDSX-54591807,60.32518436539253,complaint
67168751,kLie-57036764,6.829346782705274,complaint
39567622,VcWe-55496411,14.092933699914944,complaint
76309815,dXwb-15081443,58.233207474995915,complaint
55754927,dnuN-86116722,57.8587967635981,complaint
29829234,WlbS-42092034,61.819979118816676,claim
38657800,tTBh-02651447,60.060718425165064,claim
98916647,cPqX-68441403,62.27973463170753,complaint
78900697,kIhM-48772162,60.499309341804675,claim
19357957,mVQn-69261916,8.371476605634244,claim
98835974,sOlm-19318064,60.134164101629665,claim
19003331,PGaZ-95470812,63.109705887580255,request_info
06728153,SVbf-14226960,7.294444678358991,claim
18039837,Mkek-36750315,63.48014964683617,request_info
30073801,Zhaf-38612064,59.27426620775663,claim
63715914,VYGt-65375824,10.007569944107011,request_info
14870350,Wfxa-80215722,62.83699944801809,request_info
96114714,RyuC-36844498,9.416350687842726,complaint
69504976,jYbP-24975446,60.84642469590122,request_info
90972337,WtzE-73779603,57.026706615089694,complaint
